Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1u","C_0805",46.500000,-14.500000,0.000000,top
"C2","0.1u","C_0805",46.500000,-20.500000,0.000000,top
"C3","0.1u","C_0805",40.000000,-5.500000,0.000000,top
"C4","0.1u","C_0805",31.000000,-25.000000,180.000000,top
"C5","0.1u","C_0805",25.500000,-11.000000,90.000000,top
"C6","4.7u","C_0805",22.000000,-13.000000,90.000000,top
"C7","1u","C_0805",27.000000,-7.500000,180.000000,top
"C8","4.7n","C_0805",6.500000,-15.800000,0.000000,top
"C9","1u","C_0805",62.000000,-8.500000,0.000000,top
"C10","1u","C_0805",66.000000,-14.000000,-90.000000,top
"F1","Polyfuse_Small","F_0805",18.900000,-16.800000,90.000000,top
"J1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12",14.800000,0.650000,0.000000,top
"J2","ISP","isp_standard",51.500000,-7.500000,0.000000,top
"J3","DF14-20P-1.25H","DF14-20P-1.25H",75.900000,-27.550000,180.000000,top
"R1","22","R_0805",12.900000,-16.800000,-90.000000,top
"R2","22","R_0805",15.900000,-16.800000,-90.000000,top
"R3","10k","R_0805",45.500000,-10.000000,0.000000,top
"R4","10k","R_0805",46.500000,-23.000000,0.000000,top
"R5","5.1k","R_0805",18.400000,-11.800000,-90.000000,top
"R6","5.1k","R_0805",10.400000,-11.800000,-90.000000,top
"R7","1M","R_0805",6.500000,-13.300000,180.000000,top
"S1","SCREW","screw",3.300000,-3.350000,0.000000,top
"S2","SCREW","screw",83.200000,-3.350000,0.000000,top
"SW1","SW_PUSH","SW_SPST_TL3342",69.950000,-8.600000,0.000000,top
"U1","ATmega32U4","ATMEGA32U4",35.500000,-16.500000,180.000000,top
"U2","USBLC6-2SC6","USBLC6-2SC6",14.400000,-11.800000,90.000000,top
"U3","XC6206P332MR","SOT-23",62.500000,-12.000000,90.000000,top
"X1","16mhz","Resonator_SMD_muRata_CSTNExxV-3Pin-p1.2",26.500000,-16.000000,90.000000,top
